Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM01", 0x01,"	PUE (year)", 1 Year, 2019-01-01 00:00:00,"	1.00","	 "
"	ECC800_FM01", 0x01,"	IT accumulate electric by hour", 1 Year, 2019-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Aircon accumulate electric by hour", 1 Year, 2019-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Year, 2019-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	PUE (year)", 1 Year, 2020-01-01 00:00:00,"	1.00","	 "
"	ECC800_FM01", 0x01,"	IT accumulate electric by hour", 1 Year, 2020-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Aircon accumulate electric by hour", 1 Year, 2020-01-01 00:00:00,"	0.00","	kWh"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Year, 2020-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2020-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2020-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2020-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2020-01-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	PUE (year)", 1 Year, 2021-01-01 00:00:00,"	No Data","	 "
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Year, 2021-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2021-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2021-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2021-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2021-01-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Year, 2022-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2022-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2022-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2022-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2022-01-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Year, 2023-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2023-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2023-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2023-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2023-01-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Year, 2024-01-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Year, 2024-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Year, 2024-01-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Year, 2024-01-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Year, 2024-01-01 00:00:00,"	No Data","	%RH"
